13:42:33 - TS60T_bat 25.00 
16:27:44 - TS60T_bat 25.00 Celsius 
16:27:55 - TS60T_bat 25.00 Celsius 
16:28:06 - TS60T_bat 25.00 Celsius 
16:28:17 - TS60T_bat 25.00 Celsius 
16:28:28 - TS60T_bat 25.00 Celsius 
16:28:39 - TS60T_bat 25.00 Celsius 
16:28:51 - TS60T_bat 25.00 Celsius 
16:29:02 - TS60T_bat 25.00 Celsius 
16:29:13 - TS60T_bat 25.00 Celsius 
16:29:24 - TS60T_bat 25.00 Celsius 
16:29:35 - TS60T_bat 25.00 Celsius 
16:29:46 - TS60T_bat 25.00 Celsius 
16:29:57 - TS60T_bat 25.00 Celsius 
